dispnum,ccode1,ccode2,styear,war,fatal,dyad_id,year,sd_w5,shared_us_w5,same_top5,both_imp_w5,ally_defense,cinc_diff,regime_dist,ln_capdist,ln_trade_lag1,py,py2,py3,unga,cwera
2812,100,101,1987,0,0.0,100_101,1987,0.0,0.0,0.0,1.0,1.0,0.0002311663,0.2799999999999999,6.9364399128420455,5.3354204544995385,5.0,0.25,0.125,0.09065179,1
2814,211,630,1987,0,0.0,211_630,1987,,,,,,,,,,,,,,1
2814,210,630,1987,0,0.0,210_630,1987,,,,,,,,,,,,,,1
2815,338,645,1987,0,0.0,338_645,1987,,,,,,,,,,,,,,1
2816,260,290,1987,0,0.0,260_290,1987,,,,,,,,,,,,,,1
2817,350,630,1987,0,0.0,350_630,1987,,,,,,,,,,,,,,1
2818,352,630,1987,0,0.0,352_630,1987,,,,,,,,,,,,,,1
2819,350,645,1987,0,0.0,350_645,1987,,,,,,,,,,,,,,1
2820,345,630,1987,0,0.0,345_630,1987,,,,,,,,,,,,,,1
2821,325,630,1987,0,0.0,325_630,1987,,,,,,,,,,,,,,1
2822,230,630,1987,0,0.0,230_630,1987,,,,,,,,,,,,,,1
2823,220,630,1987,0,0.0,220_630,1987,0.0,0.0,0.0,1.0,0.0,0.0095525512999999,0.693,8.345597901982604,6.684799235087312,2.0,0.04,0.008,3.257328,1
2824,352,645,1987,0,0.0,352_645,1987,,,,,,,,,,,,,,1
2825,380,630,1987,0,0.0,380_630,1987,,,,,,,,,,,,,,1
2826,365,630,1987,0,0.0,365_630,1987,0.0,0.0,0.0,1.0,0.0,0.1639893863,0.027,7.80994708647679,4.543294782270004,1.0,0.01,0.001,0.2891711,1
2827,365,385,1987,0,0.0,365_385,1987,0.0,0.0,0.0,1.0,0.0,0.171569489,0.721,7.405374075260846,5.334904807990293,4.0,0.16,0.064,2.3223109,1
2828,360,630,1987,0,0.0,360_630,1987,,,,,,,,,,,,,,1
2832,385,630,1987,0,0.0,385_630,1987,,,,,,,,,,,,,,1
2833,385,645,1987,0,0.0,385_645,1987,,,,,,,,,,,,,,1
2834,2,630,1988,0,0.0,2_630,1988,0.0,0.0,0.0,1.0,0.0,0.123302185,0.685,9.228091877551838,5.8996233160376335,1.0,0.01,0.001,4.12423,1
2834,390,630,1987,0,0.0,390_630,1987,,,,,,,,,,,,,,1
2838,732,740,1959,0,0.0,732_740,1959,1.0,1.0,1.0,1.0,0.0,0.0253332964999999,0.568,7.050729447933244,4.085976312551584,1.0,0.01,0.001,,1
2841,775,800,1959,0,0.0,775_800,1959,0.0,0.0,0.0,1.0,0.0,0.0007886582,0.299,6.7067400797409285,0.5306282451798174,4.0,0.16,0.064,1.4811532,1
2847,365,740,1955,0,0.0,365_740,1955,0.0,0.0,0.0,1.0,0.0,0.149178333,0.7070000000000001,8.919854372191667,1.1631508098056809,1.0,0.01,0.001,,1
2849,2,315,1957,0,0.0,2_315,1957,0.0,0.0,0.0,1.0,0.0,0.244652469,0.48,8.839146247295385,2.171336806384092,4.0,0.16,0.064,3.703662000000001,1
2850,750,770,1957,0,0.0,750_770,1957,1.0,0.0,1.0,1.0,0.0,0.0358457197999999,0.472,6.531606225208026,3.994524282188507,1.0,0.01,0.001,1.3103294,1
2852,365,740,1958,0,0.0,365_740,1958,0.0,0.0,0.0,1.0,0.0,0.13768334,0.718,8.919854372191667,3.1311369978964345,1.0,0.01,0.001,3.344866,1
2853,710,740,1958,0,0.0,710_740,1958,0.0,0.0,0.0,1.0,0.0,0.07514813,0.7549999999999999,7.646974647644465,4.955827057601261,4.0,0.16,0.064,,1
2854,2,265,1958,0,0.0,2_265,1958,0.0,0.0,0.0,1.0,0.0,0.2247847982,0.4579999999999999,8.811667146724973,2.302585092994046,13.0,1.69,2.197,,1
2855,211,265,1958,0,0.0,211_265,1958,,,,,,,,,,,,,,1
2857,2,339,1958,0,0.0,2_339,1958,0.0,0.0,0.0,1.0,0.0,0.2339713176,0.452,8.957420369736672,0.0,13.0,1.69,2.197,3.903694,1
2858,200,339,1958,0,0.0,200_339,1958,0.0,0.0,0.0,1.0,0.0,0.0447044146,0.629,7.545970976015864,0.1823215567939546,12.0,1.44,1.728,5.2305530000000005,1
2859,710,713,1959,0,0.0,710_713,1959,0.0,0.0,0.0,1.0,0.0,0.1095146648,0.0089999999999999,7.451067453782427,,1.0,0.01,0.001,,1
2860,140,365,1959,0,0.0,140_365,1959,0.0,0.0,0.0,1.0,0.0,0.157071245,0.29,9.321854912717576,,14.0,1.96,2.744,4.225181,1
2861,365,740,1959,0,0.0,365_740,1959,0.0,0.0,0.0,1.0,0.0,0.13647196,0.723,8.919854372191667,3.7208625726062095,1.0,0.01,0.001,3.2394514,1
2862,710,817,1959,0,0.0,710_817,1959,0.0,0.0,0.0,1.0,0.0,0.114052988,0.2279999999999999,,,3.0,0.09,0.027,,1
2863,365,840,1959,0,0.0,365_840,1959,0.0,0.0,0.0,1.0,0.0,0.1678568817,0.276,9.018877157264944,0.0,14.0,1.96,2.744,3.1562096,1
2865,200,395,1958,0,0.0,200_395,1958,,,,0.0,1.0,0.045190141617,0.006,7.543379273298417,2.6946271132024995,13.0,1.69,2.197,1.9550831,1
2869,750,770,1959,0,0.0,750_770,1959,0.0,0.0,0.0,1.0,0.0,0.036598454,0.542,6.531606225208026,3.493472718561598,1.0,0.01,0.001,1.0753816,1
2870,2,225,1959,0,0.0,2_225,1959,1.0,0.0,1.0,1.0,0.0,0.2273797446,0.007,8.79476432011729,5.911067637128881,5.0,0.25,0.125,,1
2871,365,630,1959,0,0.0,365_630,1959,0.0,0.0,0.0,1.0,0.0,0.1655395318,0.0479999999999999,7.80994708647679,,8.0,0.64,0.512,3.0359676,1
2873,365,740,1960,0,0.0,365_740,1960,0.0,0.0,0.0,1.0,0.0,0.135455117,0.723,8.919854372191667,4.151039905898646,1.0,0.01,0.001,3.424736,1
2875,200,395,1960,0,0.0,200_395,1960,,,,0.0,1.0,0.042321590273,0.001,7.543379273298417,2.660259467335789,1.0,0.01,0.001,0.8404043999999999,1
2876,2,305,1960,0,0.0,2_305,1960,0.0,0.0,0.0,1.0,0.0,0.2118125528,0.1779999999999999,8.871365005136852,4.867534450455582,15.0,2.25,3.375,0.7689484000000001,1
2877,305,325,1960,0,0.0,305_325,1960,0.0,0.0,1.0,1.0,0.0,0.0145287398,0.0999999999999999,6.641443232266549,5.436338707999417,15.0,2.25,3.375,0.6214864000000001,1
2878,305,310,1960,0,0.0,305_310,1960,0.0,0.0,0.0,1.0,0.0,0.0002283288999999,0.705,5.371567828287629,,15.0,2.25,3.375,2.9655246,1
2880,230,600,1961,0,0.0,230_600,1961,0.0,0.0,0.0,1.0,0.0,0.0079943473,0.0009999999999999,6.63974510632782,3.100092333923278,3.0,0.09,0.027,2.585893,1
2882,365,740,1961,0,0.0,365_740,1961,0.0,0.0,0.0,1.0,0.0,0.134427805,0.725,8.919854372191667,4.997212273764115,1.0,0.01,0.001,3.0922676,1
2884,710,817,1961,0,0.0,710_817,1961,0.0,0.0,0.0,1.0,0.0,0.1000538439,0.2249999999999999,,,2.0,0.04,0.008,,1
2885,750,770,1960,0,0.0,750_770,1960,0.0,0.0,0.0,1.0,0.0,0.035788032,0.543,6.531606225208026,3.2846636028593865,1.0,0.01,0.001,1.3159356,1
2887,230,600,1961,0,0.0,230_600,1961,0.0,0.0,0.0,1.0,0.0,0.0079943473,0.0009999999999999,6.63974510632782,3.100092333923278,3.0,0.09,0.027,2.585893,1
2888,365,740,1962,0,0.0,365_740,1962,0.0,0.0,0.0,1.0,0.0,0.137962918,0.736,8.919854372191667,5.355642433167306,1.0,0.01,0.001,3.459313,1
2890,235,438,1962,0,0.0,235_438,1962,,,,,,,,,,,,,,1
2891,710,713,1966,0,1.0,710_713,1966,0.0,0.0,0.0,1.0,0.0,0.1033898083,0.01,7.451067453782427,,1.0,0.01,0.001,,1
2892,710,713,1963,0,,710_713,1963,0.0,0.0,0.0,1.0,0.0,0.1004976950999999,0.0109999999999999,7.451067453782427,,1.0,0.01,0.001,,1
2894,740,850,1963,0,0.0,740_850,1963,,,,,,,,,,,,,,1
2897,365,630,1963,0,0.0,365_630,1963,0.0,0.0,0.0,1.0,0.0,0.1652829855,0.031,7.80994708647679,3.186352674484954,4.0,0.16,0.064,3.2728159,1
2898,260,315,1963,0,0.0,260_315,1963,,,,0.0,0.0,0.028823135,0.649,6.262826670692666,,2.0,0.04,0.008,,1
2899,2,365,1963,0,0.0,2_365,1963,0.0,0.0,0.0,1.0,0.0,0.03668645,0.5870000000000001,8.964861739409468,3.6635616461296463,1.0,0.01,0.001,4.479978,1
2901,2,365,1964,0,0.0,2_365,1964,0.0,0.0,0.0,1.0,0.0,0.03548893,0.5860000000000001,8.964861739409468,3.8501476017100575,1.0,0.01,0.001,,1
2904,820,850,1964,0,0.0,820_850,1964,0.0,0.0,0.0,1.0,0.0,0.0112937003,0.0789999999999999,7.080110671464242,3.367295829986474,1.0,0.01,0.001,,1
2906,2,651,1964,0,0.0,2_651,1964,0.0,0.0,0.0,1.0,0.0,0.1969594406,0.5010000000000001,9.143227874334848,5.611301621862036,2.0,0.04,0.008,,1
2907,365,380,1964,0,0.0,365_380,1964,0.0,0.0,0.0,1.0,0.0,0.1632472202,0.684,7.113630588729827,4.875960467047302,9.0,0.81,0.729,,1
2908,260,365,1964,0,0.0,260_365,1964,,,,0.0,0.0,0.12744446,0.753,7.6440577298560095,,1.0,0.01,0.001,,1
2910,2,365,1965,0,0.0,2_365,1965,0.0,0.0,0.0,1.0,0.0,0.0369921199999999,0.5800000000000001,8.964861739409468,5.135798437050262,1.0,0.01,0.001,4.405264000000001,1
2913,820,850,1965,0,0.0,820_850,1965,0.0,0.0,0.0,1.0,0.0,0.0113430093,0.0839999999999999,7.080110671464242,0.0,1.0,0.01,0.001,,1
2914,740,850,1965,0,0.0,740_850,1965,,,,,,,,,,,,,,1
2915,200,365,1965,0,0.0,200_365,1965,0.0,0.0,0.0,1.0,0.0,0.127469892,0.733,7.824685806143631,5.950121557518362,3.0,0.09,0.027,4.400154000000001,1
2916,2,731,1965,0,0.0,2_731,1965,0.0,0.0,0.0,1.0,0.0,0.1962746436,0.5830000000000001,9.309705953873744,,1.0,0.01,0.001,,1
2918,200,850,1966,0,0.0,200_850,1966,0.0,0.0,0.0,1.0,0.0,0.0230815169999999,0.629,9.368966735258605,3.6712244934299214,1.0,0.01,0.001,2.7913221,1
2919,732,740,1966,0,0.0,732_740,1966,1.0,1.0,1.0,1.0,0.0,0.0347958047,0.5579999999999999,7.050729447933244,5.342334251964811,2.0,0.04,0.008,,1
2920,710,732,1966,0,0.0,710_732,1966,0.0,0.0,0.0,1.0,0.0,0.1012523117,0.202,6.860873293082006,0.0,1.0,0.01,0.001,,1
2921,2,365,1966,0,0.0,2_365,1966,0.0,0.0,0.0,1.0,0.0,0.042353,0.601,8.964861739409468,4.5217885770490405,1.0,0.01,0.001,4.283787,1
2922,101,365,1968,0,0.0,101_365,1968,0.0,0.0,0.0,1.0,0.0,0.1666172327,0.551,9.203577555596794,0.0,23.0,5.29,12.167,2.4075446,1
2923,140,365,1968,0,0.0,140_365,1968,0.0,0.0,0.0,1.0,0.0,0.152883128,0.088,9.321854912717576,3.868071076101679,9.0,0.81,0.729,3.076741,1
2924,2,651,1968,0,0.0,2_651,1968,0.0,0.0,0.0,1.0,0.0,0.1970455502999999,0.518,9.143227874334848,4.469350497209817,4.0,0.16,0.064,3.659925,1
2925,365,740,1968,0,0.0,365_740,1968,0.0,0.0,0.0,1.0,0.0,0.122199277,0.738,8.919854372191667,6.41787543605281,1.0,0.01,0.001,3.261919,1
2926,200,710,1968,0,0.0,200_710,1968,0.0,0.0,0.0,1.0,0.0,0.07368262,0.748,9.004680585001791,5.250701512606374,6.0,0.36,0.216,,1
2927,160,365,1968,0,0.0,160_365,1968,0.0,0.0,0.0,1.0,0.0,0.1645776716999999,0.0139999999999999,9.508814005506162,3.321432449294375,23.0,5.29,12.167,2.3717695,1
2928,2,365,1968,0,0.0,2_365,1968,0.0,0.0,0.0,1.0,0.0,0.0324082599999999,0.608,8.964861739409468,4.653960350157523,1.0,0.01,0.001,4.195073,1
2929,2,710,1965,0,0.0,2_710,1965,0.0,0.0,0.0,1.0,0.0,0.09264933,0.6020000000000001,9.31898847758312,0.6931471805599453,1.0,0.01,0.001,,1
