year,ccode1,ccode2,onset,sd_w5,same_top5,ally_ff,regime_dist,ln_capdist,py,py2,py3,dyad_id
2015,2,522,0,0,0,0,0.655,9.364399619052167,70,49.0,343.0,2_522
2015,2,530,0,0,0,0,0.672,9.35230857442092,70,49.0,343.0,2_530
2015,2,540,0,0,0,0,0.6100000000000001,9.273061617868898,70,49.0,343.0,2_540
2015,2,541,0,0,0,0,0.463,9.504330009846358,70,49.0,343.0,2_541
2015,2,551,0,0,0,0,0.442,9.42458040433841,70,49.0,343.0,2_551
2015,2,553,0,0,0,0,0.36,9.45488527195027,70,49.0,343.0,2_553
2015,2,560,0,0,0,0,0.14500000000000002,9.450396102754326,70,49.0,343.0,2_560
2015,2,565,0,0,0,0,0.19300000000000006,9.384276872235697,70,49.0,343.0,2_565
2015,2,571,0,0,0,0,0.21000000000000008,9.45506535972397,70,49.0,343.0,2_571
2015,2,581,0,0,0,0,0.505,9.505343083045595,70,49.0,343.0,2_581
2015,2,590,0,0,0,0,0.16300000000000003,9.629787277604766,70,49.0,343.0,2_590
2015,2,591,0,0,0,0,0.382,9.540190732288508,70,49.0,343.0,2_591
2015,2,600,0,0,0,0,0.636,8.723654362396672,70,49.0,343.0,2_600
2015,2,615,0,0,0,0,0.569,8.8240747681456,70,49.0,343.0,2_615
2015,2,616,0,0,0,0,0.17300000000000004,8.901107745493958,70,49.0,343.0,2_616
2015,2,620,0,0,0,0,0.615,8.963160242833732,4,0.16,0.064,2_620
2015,2,625,0,0,0,0,0.68,9.262610189409864,17,2.89,4.913,2_625
2015,2,626,0,0,0,0,0.734,9.328621061560085,70,49.0,343.0,2_626
2015,2,630,0,0,0,0,0.714,9.228091877551838,2,0.04,0.008,2_630
2015,2,640,0,0,0,1,0.512,9.074142570498188,12,1.44,1.728,2_640
2015,2,645,0,0,0,0,0.504,9.207386012149746,12,1.44,1.728,2_645
2015,2,651,0,0,0,0,0.744,9.143227874334848,42,17.64,74.088,2_651
2015,2,652,0,0,0,0,0.764,9.152467585385711,1,0.01,0.001,2_652
2015,2,660,0,0,0,0,0.42000000000000004,9.143398966222302,70,49.0,343.0,2_660
2015,2,663,0,0,0,0,0.645,9.162567190504499,24,5.76,13.824,2_663
2015,2,666,0,0,0,0,0.16700000000000004,9.15886811420722,39,15.21,59.319,2_666
2015,2,670,0,0,0,0,0.884,9.291238098632173,70,49.0,343.0,2_670
